,tweet
132,"b'Dedicar una canci\xc3\xb3n de Mxmtoon, esa es mi muestra de mayor amor. https://t.co/g0B7nPu6TR'"
133,"b'RT @DelMarR_V: Feliz d\xc3\xada, amigas de mi vida. Para ustedes son todas las canciones de amor. https://t.co/EPu98kIlIg'"
134,"b'Pero el mundo est\xc3\xa1 agotado, y la \xc3\xbanica riqueza que nos queda es el amor. \xf0\x9f\x8c\xb9\xf0\x9f\x92\x9b'"
135,"b'@ltwtbslonely no te preocupes amor van a seguir liberando e igualmente hay muchas personas que venden sus entradas,\xe2\x80\xa6 https://t.co/MlIN9a2YXc'"
136,b'RT @Mel_Medrano10: Camilo fue novio de Evaluna mucho tiempo y ahora que son esposos \xc3\xa9l sigue demostrandole su amor como desde el primer d\xc3\xada\xe2\x80\xa6'
137,b'@tiffanymx1 Tienes bien deliciosas las nalgas Bbe para darte unas mamadas en todo el culito y la panochita amor \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
138,"b'Hoy hace un a\xc3\xb1o conoc\xc3\xad que es el amor, y le juro que es lo m\xc3\xa1s hermoso del mundo que te quiero de verdad.'"
139,b'Trabajar desde casa es demasiado amor odio'
140,"b'RT @KINGSBTS7: no necesitan ser ricos, ni tener toda la merch de los chicos tampoco ir al d\xc3\xada con sus \xc3\xa1lbumes para validar que son armys, n\xe2\x80\xa6'"
141,"b'El MV de @BTS_twt ""Mic Drop"" ha sobrepasado los 700M de views.\nVamos Armys a seguir d\xc3\xa1ndole amor a esta joyita!\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c\xe2\x80\xa6 https://t.co/gC6t1jFHWk'"
142,"b'Si morimos y hay un cielo, me escapare del infierno y te har\xc3\xa9 el amor en una nube, en honor a nuestros recuerdos.\xf0\x9f\x8e\xbc\xf0\x9f\x92\xab'"
143,b'RT @sikkaria: amor es cuando luis y yo llegamos a las tantas a casa de una fiesta nos metemos en la cama y me dice \xe2\x80\x9cno te vas a desmaquilla\xe2\x80\xa6'
144,b'@elcosodelapizza Entinces nunca voy a tener amor mutuo'
145,"b'RT @dra_calegria: ""Ojal\xc3\xa1 que el Amor sea la pr\xc3\xb3xima pandemia"".\n@julymed08'"
146,"b'RT @ShrekGuevara: No creo en amor de puta, en amistad de polic\xc3\xada, y menos en arrepentimiento de chavista.'"
147,b'RT @sikkaria: amor es cuando luis y yo llegamos a las tantas a casa de una fiesta nos metemos en la cama y me dice \xe2\x80\x9cno te vas a desmaquilla\xe2\x80\xa6'
148,"b'RT @FuerzasMilCol: Nuestra bandera, s\xc3\xadmbolo de amor y entrega por #Colombia. Por eso los soldados aviadores rendimos un homenaje a estos 21\xe2\x80\xa6'"
149,"b'RT @AbruBruzzese: alguna vez lloraron por amor???? pero tipo llorar por amar TANTO a alguien y que te haga TAN feliz,soy la \xc3\xbanica boluda???\xe2\x80\xa6'"
150,"b'\xc2\xabEl amor se construye entre dos seres enteros, no entre dos mitades que se necesitan para sentirse completas.\xc2\xbb'"
151,"b'El atardecer palpita al ritmo de una melod\xc3\xada,\nQuisiera decirle a las nubes que no opaquen el d\xc3\xada,\nNo hay d\xc3\xada o noch\xe2\x80\xa6 https://t.co/V8lHF0pRQF'"
152,"b'RT @7anpanman_ever: Simple\nNo creas, ni difundas toda informaci\xc3\xb3n que puede ser maliciosa solo porque esta escrita en Coreano \n\nNI PARA REP\xe2\x80\xa6'"
153,b'\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad gracia amor \xe2\x99\xa5\xef\xb8\x8f'
154,b'RT @elvurss: La dulce ni\xc3\xb1a carolina no tiene edad para hacer el amor pero como no es reguet\xc3\xb3n no pasa nada'
155,b'@sofidacund @mateoooov t haces pis encima del miedo mi amor'
156,"b'me hablo el amor de mi vida para decirme feliz d\xc3\xada, el lado positivo es que se acord\xc3\xb3 de que existo por lo menos'"
157,b'RT @auronxsea: GUSTABO GARC\xc3\x8dA SOS UN TERRIBLE PUTO Y TU SOCIOPATIA UNA TERRIBLE MIERDA NO TE ACORD\xc3\x81S CUANDO HORACIO TE LLENABA EL ALMA DE A\xe2\x80\xa6'
158,"b'RT @AbruBruzzese: alguna vez lloraron por amor???? pero tipo llorar por amar TANTO a alguien y que te haga TAN feliz,soy la \xc3\xbanica boluda???\xe2\x80\xa6'"
159,b'@hatecatsEF Te quiero hacer el amor en la moto'
160,"b'RT @fwooyoungk: NO VALE, NO HAY MEDIDOR DE AMOR.'"
161,"b'El amor y los tatuajes duelen, pero los tatuajes si duran toda la vida.'"
162,b'RT @paola_ah24: Unas 4 cirug\xc3\xadas por ah\xc3\xad y ya voy a tener amor propio \xf0\x9f\x98\x83'
163,b'RT @auronxsea: GUSTABO GARC\xc3\x8dA SOS UN TERRIBLE PUTO Y TU SOCIOPATIA UNA TERRIBLE MIERDA NO TE ACORD\xc3\x81S CUANDO HORACIO TE LLENABA EL ALMA DE A\xe2\x80\xa6'
164,"b'RT @lsmp07: yixing rey, te lanzas tremendo talento mi amor, amo todooo\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x9d\xa3\xef\xb8\x8f\xe2\x9d\xa3\xef\xb8\x8f\n#LAY04LITDRAGON @layzhang https://t.co/9Aj2FZT7Zd'"
